gvkey,fyear,datadate,act,at,che,cogs,dlc,dltt,dp,dpc,ib,lct,oancf,ppegt,ppent,rect,sale,xsga,nicon,sic
274014,2011,20120331,9414.3000,32666.0000,230.3000,19751.4000,10110.8000,12725.7000,2075.3000,2075.3000,-437.4000,12644.9000,4160.6000,33189.0000,21464.1000,2164.2000,27322.8000,3435.3000,-437.4000,2390
274014,2012,20130331,11066.5000,32867.5000,360.7000,22711.4000,12906.3000,9491.8000,2614.4000,2614.4000,493.1000,15201.4000,3802.5000,34138.7000,19902.7000,2407.8000,33351.8000,4174.1000,493.1000,2390
274014,2013,20140331,10984.8000,31814.9000,405.1000,25447.9000,10964.1000,7658.6000,2684.1000,2684.1000,1940.2000,13750.4000,7468.5000,34934.9000,18189.2000,2677.7000,38689.6000,5385.7000,1940.2000,2390
274014,2014,20150331,12372.2000,45070.0000,366.6000,24552.2000,11840.4000,13961.0000,3213.2000,3213.2000,1178.6000,14908.3000,5762.3000,50480.6000,30601.7000,2067.8000,37553.3000,6169.9000,1178.6000,2390
274014,2015,20160331,15070.8000,56637.3000,1015.9000,17546.6000,12316.2000,21365.0000,3376.4000,3376.4000,2291.0000,15672.1000,5287.9000,61617.5000,38480.0000,1795.7000,36840.2000,4573.3000,2269.2000,2390
274014,2016,20170331,15094.8000,61865.0000,850.9000,23160.0000,11055.2000,17462.9000,4125.0000,4125.0000,3372.2000,14230.8000,10162.8000,51733.4000,44178.2000,3782.8000,46944.2000,6129.7000,3372.2000,2390
274014,2017,20180331,18307.8000,63311.7000,647.1000,23016.2000,13870.3000,14107.8000,4041.3000,4041.3000,2640.3000,16976.7000,4762.4000,53603.4000,41961.8000,6043.9000,45575.4000,5526.0000,2640.3000,2390
274014,2018,20190331,20369.0000,61560.7000,861.5000,24599.3000,14821.3000,9536.2000,3640.0000,3640.0000,3717.7000,18215.7000,6557.0000,52974.3000,38047.5000,7812.7000,52486.0000,6353.5000,3717.7000,2390
274014,2019,20200331,17519.3000,57764.8000,3225.5000,21738.7000,12695.1000,7214.6000,3336.9000,3536.9000,3397.0000,16970.1000,12137.0000,56002.9000,37841.6000,3765.0000,47276.7000,6165.5000,3397.0000,2390
274014,2020,20210331,18320.6000,57716.5000,1073.3000,20448.5000,12817.4000,2805.2000,3368.5000,3368.5000,3043.9000,18424.7000,5049.3000,59337.9000,38090.5000,5150.9000,45306.2000,6082.5000,3043.9000,2390
274014,2021,20220331,25489.0000,64891.3000,2747.6000,33788.6000,12630.3000,3336.7000,3328.0000,3328.0000,8337.5000,20033.1000,9025.8000,62009.4000,37596.3000,6158.7000,69976.6000,7057.3000,8337.5000,2390
274678,2000,20010331,54.9160,95.4560,0.8250,134.7230,10.6150,21.1860,2.6160,2.6160,5.0070,57.5500,4.8610,43.9770,40.3370,25.5890,159.5370,12.3320,5.0070,2300
274678,2001,20020331,99.6230,148.5930,1.5210,256.2220,19.7940,20.9580,4.4670,4.4670,8.3200,102.5940,10.2240,56.5780,48.4700,52.8210,295.3380,19.6600,8.3200,2300
274678,2002,20030331,172.7180,222.6590,4.4550,416.7680,60.5150,14.8200,5.1630,,10.9710,166.0870,,61.8090,48.7290,97.1060,479.1350,31.3310,10.9710,2300
